AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4168.076923,4168.717949,4185.384615,4212.564103,4141.025641,4177.435897,4170.128205,4170,4181.666667,4146.282051,4161.923077,4386.538462,4301.025641,4221.282051
4172.820513,4172.179487,4190.128205,4216.666667,4143.333333,4181.923077,4180,4174.487179,4184.487179,4145.641025,4159.102564,4389.358975,4307.692308,4222.435897
4172.692308,4178.974359,4192.435897,4221.538461,4144.615384,4180.384615,4182.307692,4183.589743,4193.974359,4145.769231,4150.769231,4395.128205,4310.25641,4225.128205
4170,4179.358974,4189.487179,4221.153846,4141.153846,4173.461538,4172.051282,4187.179487,4191.153846,4146.025641,4136.538461,4396.923077,4309.48718,4221.282051
4170.128205,4175.51282,4187.435897,4217.051282,4142.692307,4170.384615,4172.435897,4184.871795,4183.717949,4146.410256,4130.897436,4392.820513,4307.435898,4216.153846
4172.051282,4179.487179,4192.179487,4222.307692,4138.846154,4178.589743,4183.974359,4184.615384,4188.076923,4147.692307,4135.769231,4390.512821,4306.538462,4215.51282
4178.076923,4188.974359,4200.25641,4233.589744,4142.307692,4187.564102,4187.820513,4185.641026,4192.564102,4147.307692,4137.692307,4398.333334,4310.769231,4220.384615
4181.410256,4191.538461,4203.846154,4235.641026,4147.564102,4185.25641,4180.51282,4185.51282,4189.230769,4145.769231,4138.846154,4407.820513,4321.153846,4224.871795
4175.384615,4188.846154,4197.307692,4229.487179,4140.384615,4184.230769,4179.74359,4185.51282,4183.974359,4147.307692,4143.205128,4407.948718,4325.128205,4224.102564
4169.102564,4186.410256,4190.51282,4227.435897,4141.538461,4182.435897,4180.769231,4182.564102,4178.717949,4147.435897,4148.846154,4406.923077,4319.358975,4222.435897
4170.51282,4182.948718,4191.538461,4227.051282,4141.025641,4173.076923,4173.205128,4182.051282,4177.179487,4146.923077,4151.153846,4408.205129,4336.923077,4222.179487
4176.794872,4184.871795,4198.974359,4226.794872,4138.974359,4169.74359,4169.230769,4180.769231,4182.820513,4148.461538,4155.128205,4411.153847,4376.282052,4229.102564
4185.769231,4195.897436,4210.25641,4235.512821,4142.435897,4173.846154,4174.230769,4173.333333,4188.717949,4148.076923,4163.589743,4419.871795,4394.48718,4240
4191.666667,4203.333333,4218.205128,4245.384615,4139.615384,4173.589743,4174.487179,4166.794872,4187.820513,4144.74359,4166.153846,4424.871795,4387.179487,4241.282051
4188.589743,4201.025641,4217.179487,4242.435897,4143.205128,4168.846154,4167.051282,4168.076923,4185.51282,4145.641025,4161.025641,4423.333334,4384.615385,4236.923077
4184.487179,4197.179487,4212.435897,4233.717949,4144.871795,4167.820513,4166.794872,4168.846154,4190.897436,4147.179487,4156.410256,4422.051282,4387.564103,4235.512821
4183.461538,4194.615384,4211.666667,4232.051282,4141.666666,4171.025641,4174.74359,4171.282051,4199.102564,4145.769231,4155.897436,4420.128205,4380,4233.717949
4180.769231,4188.461538,4209.358974,4231.410256,4142.948718,4175.25641,4179.102564,4180.769231,4201.666667,4145.897436,4153.974359,4413.461539,4367.435898,4227.692308
4180.897436,4185.51282,4205.51282,4231.923077,4141.025641,4177.179487,4180,4187.307692,4199.230769,4145,4150,4413.974359,4360.641026,4224.871795
4183.846154,4188.974359,4205.128205,4232.820513,4144.487179,4179.230769,4181.282051,4187.564102,4194.230769,4145,4144.102564,4417.820513,4355.897436,4228.461538
4176.410256,4186.410256,4201.666667,4223.461538,4143.076923,4183.076923,4179.102564,4183.974359,4184.358974,4147.179487,4128.974359,4406.538462,4339.74359,4225.128205
4167.435897,4175.641026,4196.666667,4211.282051,4138.333333,4184.487179,4175.641026,4184.487179,4181.923077,4145.769231,4116.410256,4396.410257,4328.461539,4218.717949
4174.230769,4171.153846,4197.307692,4211.025641,4143.205128,4182.435897,4176.666667,4191.794872,4195,4143.974359,4122.692307,4402.179488,4339.871795,4225.897436
4184.615384,4180.384615,4205.897436,4221.153846,4140,4182.564102,4177.948718,4193.717949,4207.307692,4145.25641,4143.076923,4416.794872,4353.333334,4241.153846
4192.179487,4193.461538,4217.948718,4231.666667,4139.230769,4185.384615,4175.897436,4186.923077,4206.794872,4146.025641,4156.923077,4433.974359,4358.205128,4251.794872
